Entity,Code,Date,Total confirmed deaths (deaths),Total confirmed cases (cases)
Afghanistan,AFG,20191231,0,0
Afghanistan,AFG,20200101,0,0
Afghanistan,AFG,20200102,0,0
Afghanistan,AFG,20200103,0,0
Afghanistan,AFG,20200104,0,0
Afghanistan,AFG,20200105,0,0
Afghanistan,AFG,20200106,0,0
Afghanistan,AFG,20200107,0,0
Afghanistan,AFG,20200108,0,0
Afghanistan,AFG,20200109,0,0
Afghanistan,AFG,20200110,0,0
Afghanistan,AFG,20200111,0,0
Afghanistan,AFG,20200112,0,0
Afghanistan,AFG,20200113,0,0
Afghanistan,AFG,20200114,0,0
Afghanistan,AFG,20200115,0,0
Afghanistan,AFG,20200116,0,0
Afghanistan,AFG,20200117,0,0
Afghanistan,AFG,20200118,0,0
Afghanistan,AFG,20200119,0,0
Afghanistan,AFG,20200120,0,0
Afghanistan,AFG,20200121,0,0
Afghanistan,AFG,20200122,0,0
Afghanistan,AFG,20200123,0,0
Afghanistan,AFG,20200124,0,0
Afghanistan,AFG,20200125,0,0
Afghanistan,AFG,20200126,0,0
Afghanistan,AFG,20200127,0,0
Afghanistan,AFG,20200128,0,0
Afghanistan,AFG,20200129,0,0
Afghanistan,AFG,20200130,0,0
Afghanistan,AFG,20200131,0,0
Afghanistan,AFG,20200201,0,0
Afghanistan,AFG,20200202,0,0
Afghanistan,AFG,20200203,0,0
Afghanistan,AFG,20200204,0,0
Afghanistan,AFG,20200205,0,0
Afghanistan,AFG,20200206,0,0
Afghanistan,AFG,20200207,0,0
Afghanistan,AFG,20200208,0,0
Afghanistan,AFG,20200209,0,0
Afghanistan,AFG,20200210,0,0
Afghanistan,AFG,20200211,0,0
Afghanistan,AFG,20200212,0,0
Afghanistan,AFG,20200213,0,0
Afghanistan,AFG,20200214,0,0
Afghanistan,AFG,20200215,0,0
Afghanistan,AFG,20200216,0,0
Afghanistan,AFG,20200217,0,0
Afghanistan,AFG,20200218,0,0
Afghanistan,AFG,20200219,0,0
Afghanistan,AFG,20200220,0,0
Afghanistan,AFG,20200221,0,0
Afghanistan,AFG,20200222,0,0
Afghanistan,AFG,20200223,0,0
Afghanistan,AFG,20200224,0,0
Afghanistan,AFG,20200225,0,1
Afghanistan,AFG,20200226,0,1
Afghanistan,AFG,20200227,0,1
Afghanistan,AFG,20200228,0,1
Afghanistan,AFG,20200229,0,1
Afghanistan,AFG,20200301,0,1
Afghanistan,AFG,20200302,0,1
Afghanistan,AFG,20200308,0,4
Afghanistan,AFG,20200311,0,7
Afghanistan,AFG,20200315,0,10
Afghanistan,AFG,20200316,0,16
Afghanistan,AFG,20200317,0,21
Afghanistan,AFG,20200318,0,22
Afghanistan,AFG,20200319,0,22
Afghanistan,AFG,20200320,0,22
Afghanistan,AFG,20200321,0,24
Afghanistan,AFG,20200322,0,24
Afghanistan,AFG,20200323,0,34
Afghanistan,AFG,20200324,1,40
Afghanistan,AFG,20200325,1,42
Afghanistan,AFG,20200326,1,75
Afghanistan,AFG,20200327,1,75
Afghanistan,AFG,20200328,2,91
Afghanistan,AFG,20200329,3,106
Afghanistan,AFG,20200330,4,114
Afghanistan,AFG,20200331,4,141
Afghanistan,AFG,20200401,4,166
Afghanistan,AFG,20200402,4,192
Afghanistan,AFG,20200403,4,235
Afghanistan,AFG,20200404,4,235
Afghanistan,AFG,20200405,5,270
Afghanistan,AFG,20200406,7,299
Afghanistan,AFG,20200407,7,337
Afghanistan,AFG,20200408,11,367
Afghanistan,AFG,20200409,14,423
Afghanistan,AFG,20200410,15,484
Afghanistan,AFG,20200411,15,521
Afghanistan,AFG,20200412,18,555
Africa,,20191231,0,0
Africa,,20200101,0,0
Africa,,20200102,0,0
Africa,,20200103,0,0
Africa,,20200104,0,0
Africa,,20200105,0,0
Africa,,20200106,0,0
