Entity,Code,Year,Earth's surface
United States,USA,1901,-0.15
United States,USA,1902,-0.43
United States,USA,1903,-1.4
United States,USA,1904,-0.86
United States,USA,1905,-1.02
United States,USA,1906,-0.29
United States,USA,1907,-0.54
United States,USA,1908,0.06
United States,USA,1909,-0.59
United States,USA,1910,0.4
United States,USA,1911,0.01
United States,USA,1912,-1.79
United States,USA,1913,-0.48
United States,USA,1914,-0.18
United States,USA,1915,-0.57
United States,USA,1916,-1.17
United States,USA,1917,-1.96
United States,USA,1918,-0.15
United States,USA,1919,-0.47
United States,USA,1920,-0.95
United States,USA,1921,1.78
United States,USA,1922,0.01
United States,USA,1923,-0.38
United States,USA,1924,-1.43
United States,USA,1925,0.5
United States,USA,1926,-0.07
United States,USA,1927,0.13
United States,USA,1928,-0.1
United States,USA,1929,-1.17
United States,USA,1930,-0.04
United States,USA,1931,1.52
United States,USA,1932,-0.29
United States,USA,1933,0.97
United States,USA,1934,2.08
United States,USA,1935,-0.12
United States,USA,1936,0.13
United States,USA,1937,-0.47
United States,USA,1938,1.16
United States,USA,1939,1.24
United States,USA,1940,-0.13
United States,USA,1941,0.64
United States,USA,1942,-0.18
United States,USA,1943,0.05
United States,USA,1944,-0.19
United States,USA,1945,-0.27
United States,USA,1946,0.93
United States,USA,1947,-0.1
United States,USA,1948,-0.41
United States,USA,1949,0
United States,USA,1950,-0.63
United States,USA,1951,-0.9
United States,USA,1952,0.25
United States,USA,1953,1.35
United States,USA,1954,1.31
United States,USA,1955,-0.33
United States,USA,1956,0.32
United States,USA,1957,0.02
United States,USA,1958,-0.09
United States,USA,1959,0.09
United States,USA,1960,-0.58
United States,USA,1961,-0.15
United States,USA,1962,-0.12
United States,USA,1963,0.24
United States,USA,1964,-0.35
United States,USA,1965,-0.33
United States,USA,1966,-0.53
United States,USA,1967,-0.26
United States,USA,1968,-0.7
United States,USA,1969,-0.52
United States,USA,1970,-0.41
United States,USA,1971,-0.36
United States,USA,1972,-0.65
United States,USA,1973,0.27
United States,USA,1974,0.24
United States,USA,1975,-0.52
United States,USA,1976,-0.55
United States,USA,1977,0.53
United States,USA,1978,-0.97
United States,USA,1979,-1.14
United States,USA,1980,0.37
United States,USA,1981,1.1
United States,USA,1982,-0.67
United States,USA,1983,-0.14
United States,USA,1984,-0.04
United States,USA,1985,-0.72
United States,USA,1986,1.3
United States,USA,1987,1.31
United States,USA,1988,0.61
United States,USA,1989,-0.18
United States,USA,1990,1.49
United States,USA,1991,1.14
United States,USA,1992,0.58
United States,USA,1993,-0.76
United States,USA,1994,0.85
United States,USA,1995,0.63
United States,USA,1996,-0.13
United States,USA,1997,0.18
United States,USA,1998,2.21
United States,USA,1999,1.86
United States,USA,2000,1.25
United States,USA,2001,1.68
United States,USA,2002,1.19
United States,USA,2003,1.24
United States,USA,2004,1.08
United States,USA,2005,1.62
United States,USA,2006,2.23
United States,USA,2007,1.63
United States,USA,2008,0.27
United States,USA,2009,0.37
United States,USA,2010,0.96
United States,USA,2011,1.16
United States,USA,2012,3.26
United States,USA,2013,0.41
United States,USA,2014,0.52
United States,USA,2015,2.38
