Entity,Code,Date,Total confirmed cases (cases)
Afghanistan,AFG,20191231,0
Afghanistan,AFG,20200101,0
Afghanistan,AFG,20200102,0
Afghanistan,AFG,20200103,0
Afghanistan,AFG,20200104,0
Afghanistan,AFG,20200105,0
Afghanistan,AFG,20200106,0
Afghanistan,AFG,20200107,0
Afghanistan,AFG,20200108,0
Afghanistan,AFG,20200109,0
Afghanistan,AFG,20200110,0
Afghanistan,AFG,20200111,0
Afghanistan,AFG,20200112,0
Afghanistan,AFG,20200113,0
Afghanistan,AFG,20200114,0
Afghanistan,AFG,20200115,0
Afghanistan,AFG,20200116,0
Afghanistan,AFG,20200117,0
Afghanistan,AFG,20200118,0
Afghanistan,AFG,20200119,0
Afghanistan,AFG,20200120,0
Afghanistan,AFG,20200121,0
Afghanistan,AFG,20200122,0
Afghanistan,AFG,20200123,0
Afghanistan,AFG,20200124,0
Afghanistan,AFG,20200125,0
Afghanistan,AFG,20200126,0
Afghanistan,AFG,20200127,0
Afghanistan,AFG,20200128,0
Afghanistan,AFG,20200129,0
Afghanistan,AFG,20200130,0
Afghanistan,AFG,20200131,0
Afghanistan,AFG,20200201,0
Afghanistan,AFG,20200202,0
Afghanistan,AFG,20200203,0
Afghanistan,AFG,20200204,0
Afghanistan,AFG,20200205,0
Afghanistan,AFG,20200206,0
Afghanistan,AFG,20200207,0
Afghanistan,AFG,20200208,0
Afghanistan,AFG,20200209,0
Afghanistan,AFG,20200210,0
Afghanistan,AFG,20200211,0
Afghanistan,AFG,20200212,0
Afghanistan,AFG,20200213,0
Afghanistan,AFG,20200214,0
Afghanistan,AFG,20200215,0
Afghanistan,AFG,20200216,0
Afghanistan,AFG,20200217,0
Afghanistan,AFG,20200218,0
Afghanistan,AFG,20200219,0
Afghanistan,AFG,20200220,0
Afghanistan,AFG,20200221,0
Afghanistan,AFG,20200222,0
Afghanistan,AFG,20200223,0
Afghanistan,AFG,20200224,0
Afghanistan,AFG,20200225,1
Afghanistan,AFG,20200226,1
Afghanistan,AFG,20200227,1
Afghanistan,AFG,20200228,1
Afghanistan,AFG,20200229,1
Afghanistan,AFG,20200301,1
Afghanistan,AFG,20200302,1
Afghanistan,AFG,20200308,4
Afghanistan,AFG,20200311,7
Afghanistan,AFG,20200315,10
Afghanistan,AFG,20200316,16
Afghanistan,AFG,20200317,21
Afghanistan,AFG,20200318,22
Afghanistan,AFG,20200319,22
Afghanistan,AFG,20200320,22
Afghanistan,AFG,20200321,24
Afghanistan,AFG,20200322,24
Afghanistan,AFG,20200323,34
Afghanistan,AFG,20200324,40
Afghanistan,AFG,20200325,42
Afghanistan,AFG,20200326,75
Afghanistan,AFG,20200327,75
Afghanistan,AFG,20200328,91
Afghanistan,AFG,20200329,106
Afghanistan,AFG,20200330,114
Afghanistan,AFG,20200331,141
Afghanistan,AFG,20200401,166
Afghanistan,AFG,20200402,192
Afghanistan,AFG,20200403,235
Afghanistan,AFG,20200404,235
Afghanistan,AFG,20200405,270
Afghanistan,AFG,20200406,299
Afghanistan,AFG,20200407,337
Afghanistan,AFG,20200408,367
Afghanistan,AFG,20200409,423
Afghanistan,AFG,20200410,484
Afghanistan,AFG,20200411,521
Afghanistan,AFG,20200412,555
Africa,,20191231,0
Africa,,20200101,0
Africa,,20200102,0
Africa,,20200103,0
Africa,,20200104,0
Africa,,20200105,0
Africa,,20200106,0
Africa,,20200107,0
Africa,,20200108,0
Africa,,20200109,0
Africa,,20200110,0
Africa,,20200111,0
Africa,,20200112,0
Africa,,20200113,0
Africa,,20200114,0
Africa,,20200115,0
Africa,,20200116,0
Africa,,20200117,0
Africa,,20200118,0
Africa,,20200119,0
Africa,,20200120,0
Africa,,20200121,0
Africa,,20200122,0
Africa,,20200123,0
Africa,,20200124,0
Africa,,20200125,0
Africa,,20200126,0
Africa,,20200127,0
Africa,,20200128,0
Africa,,20200129,0
Africa,,20200130,0
Africa,,20200131,0
Africa,,20200201,0
Africa,,20200202,0
Africa,,20200203,0
Africa,,20200204,0
Africa,,20200205,0
Africa,,20200206,0
Africa,,20200207,0
Africa,,20200208,0
Africa,,20200209,0
Africa,,20200210,0
Africa,,20200211,0
Africa,,20200212,0
Africa,,20200213,0
Africa,,20200214,0
Africa,,20200215,1
Africa,,20200216,1
Africa,,20200217,1
Africa,,20200218,1
Africa,,20200219,1
Africa,,20200220,1
Africa,,20200221,1
Africa,,20200222,1
Africa,,20200223,1
Africa,,20200224,1
Africa,,20200225,1
Africa,,20200226,2
Africa,,20200227,2
Africa,,20200228,3
Africa,,20200229,3
Africa,,20200301,3
Africa,,20200302,6
Africa,,20200303,9
Africa,,20200304,11
Africa,,20200305,20
Africa,,20200306,29
Africa,,20200307,43
Africa,,20200308,44
Africa,,20200309,83
Africa,,20200310,95
Africa,,20200311,105
Africa,,20200312,118
Africa,,20200313,158
Africa,,20200314,202
Africa,,20200315,239
Africa,,20200316,324
Africa,,20200317,404
Africa,,20200318,494
Africa,,20200319,634
Africa,,20200320,736
Africa,,20200321,967
Africa,,20200322,1131
Africa,,20200323,1290
Africa,,20200324,1697
Africa,,20200325,2170
Africa,,20200326,2652
Africa,,20200327,3216
Africa,,20200328,3700
Africa,,20200329,4079
Africa,,20200330,4572
Africa,,20200331,5064
Africa,,20200401,5494
Africa,,20200402,6248
Africa,,20200403,6744
Africa,,20200404,7323
Africa,,20200405,8489
Africa,,20200406,9175
Africa,,20200407,9802
Africa,,20200408,10524
Africa,,20200409,11446
Africa,,20200410,12280
Africa,,20200411,12952
Africa,,20200412,13666
Albania,ALB,20200309,2
Albania,ALB,20200310,6
Albania,ALB,20200311,10
Albania,ALB,20200312,11
Albania,ALB,20200313,23
Albania,ALB,20200314,33
Albania,ALB,20200315,38
Albania,ALB,20200316,42
Albania,ALB,20200317,51
Albania,ALB,20200318,55
Albania,ALB,20200319,59
Albania,ALB,20200320,70
Albania,ALB,20200321,70
Albania,ALB,20200322,76
Albania,ALB,20200323,89
Albania,ALB,20200324,100
Albania,ALB,20200325,123
Albania,ALB,20200326,146
Albania,ALB,20200327,174
Albania,ALB,20200328,186
Albania,ALB,20200329,197
Albania,ALB,20200330,212
Albania,ALB,20200331,223
Albania,ALB,20200401,243
Albania,ALB,20200402,259
Albania,ALB,20200403,277
Albania,ALB,20200404,304
Albania,ALB,20200405,333
Albania,ALB,20200406,361
Albania,ALB,20200407,377
Albania,ALB,20200408,383
Albania,ALB,20200409,400
Albania,ALB,20200410,409
Albania,ALB,20200411,416
Albania,ALB,20200412,433
Algeria,DZA,20191231,0
Algeria,DZA,20200101,0
Algeria,DZA,20200102,0
Algeria,DZA,20200103,0
Algeria,DZA,20200104,0
Algeria,DZA,20200105,0
Algeria,DZA,20200106,0
Algeria,DZA,20200107,0
Algeria,DZA,20200108,0
Algeria,DZA,20200109,0
Algeria,DZA,20200110,0
Algeria,DZA,20200111,0
Algeria,DZA,20200112,0
Algeria,DZA,20200113,0
Algeria,DZA,20200114,0
Algeria,DZA,20200115,0
Algeria,DZA,20200116,0
Algeria,DZA,20200117,0
Algeria,DZA,20200118,0
Algeria,DZA,20200119,0
Algeria,DZA,20200120,0
Algeria,DZA,20200121,0
Algeria,DZA,20200122,0
Algeria,DZA,20200123,0
Algeria,DZA,20200124,0
Algeria,DZA,20200125,0
Algeria,DZA,20200126,0
Algeria,DZA,20200127,0
Algeria,DZA,20200128,0
Algeria,DZA,20200129,0
Algeria,DZA,20200130,0
Algeria,DZA,20200131,0
Algeria,DZA,20200201,0
Algeria,DZA,20200202,0
Algeria,DZA,20200203,0
Algeria,DZA,20200204,0
Algeria,DZA,20200205,0
Algeria,DZA,20200206,0
Algeria,DZA,20200207,0
Algeria,DZA,20200208,0
Algeria,DZA,20200209,0
Algeria,DZA,20200210,0
Algeria,DZA,20200211,0
Algeria,DZA,20200212,0
Algeria,DZA,20200213,0
Algeria,DZA,20200214,0
Algeria,DZA,20200215,0
Algeria,DZA,20200216,0
Algeria,DZA,20200217,0
Algeria,DZA,20200218,0
Algeria,DZA,20200219,0
Algeria,DZA,20200220,0
Algeria,DZA,20200221,0
Algeria,DZA,20200222,0
Algeria,DZA,20200223,0
Algeria,DZA,20200224,0
Algeria,DZA,20200225,0
Algeria,DZA,20200226,1
Algeria,DZA,20200227,1
Algeria,DZA,20200228,1
Algeria,DZA,20200229,1
Algeria,DZA,20200301,1
Algeria,DZA,20200302,3
Algeria,DZA,20200304,5
Algeria,DZA,20200305,12
Algeria,DZA,20200306,17
